cid,bid,value
1198,1593,0.75
1197,1557,0.65
1196,1557,0.65
1195,1557,0.65
1194,1588,0.75
1193,1588,0.75
1192,1588,0.75
1191,1587,0.75
1190,1587,0.75
1189,1587,0.75
1188,1587,0.75
1187,1587,0.75
1186,1251,0.6
1185,1557,0.65
1184,1557,0.65
1183,1592,
1182,21,0.75
1181,1571,0.65
1180,1573,0.75
1179,1573,0.75
1178,1573,0.75
1177,1573,0.75
1176,1572,
1175,1572,
1174,1572,
1173,1581,0.75
1172,1581,0.75
1171,1581,0.75
1170,1555,0.75
1169,1555,0.75
1168,1555,0.75
1167,1185,
1166,1185,
1165,1185,
1164,1185,
1163,1590,0.75
1162,1590,0.75
1161,21,0.75
1160,1235,0.5
1159,1185,
1158,1185,
1157,1571,0.65
1156,21,0.75
1155,1580,0.75
1154,1586,0.75
1153,1586,0.75
1152,1586,0.75
1151,1584,0.75
1150,1584,0.75
1149,1584,0.75
1148,1584,0.75
1147,1327,0.75
1146,1327,0.75
1145,1589,
1144,1185,
1143,1562,0.75
1142,1575,0.75
1141,1575,0.75
1140,1327,0.75
1139,1327,
1138,1586,0.75
1137,1586,0.75
1136,1185,
1135,1185,
1134,1185,
1133,1185,
1132,1561,0.75
1131,1588,0.75
1130,1588,0.75
1129,1575,0.75
1128,1575,0.75
1127,787,
1126,1578,0.7
1125,1578,0.65
1124,1580,0.75
1123,1580,0.75
1122,916,0.75
1121,916,0.75
1120,1585,0.75
1119,1585,0.75
1118,1585,0.75
1117,1585,0.75
1116,1185,
1115,1185,
1114,1581,0.75
1113,1581,0.75
1112,1580,0.75
1111,1580,0.75
1110,1572,
1109,1572,
1108,1578,0.7
1107,1578,0.65
1106,1578,0.7
1105,1578,0.65
1104,1583,4.5
1103,1567,0.75
1102,1567,0.75
1101,1567,0.75
1100,1567,0.75
1099,1567,0.75
1098,1185,
1097,1545,0.75
1096,1545,0.75
1095,1545,0.75
1094,1545,0.75
1093,1571,0.65
1092,1571,0.65
1091,1571,0.65
1090,1570,
1089,1570,
1088,1576,
1087,1576,
1086,1185,
1085,1185,
1084,1562,0.75
1083,1185,
1082,1571,0.65
1081,1571,0.65
1080,905,
1079,1557,0.65
1078,1498,0.75
1077,1498,0.75
1076,1498,0.75
1075,1185,
1074,1562,0.75
1073,21,0.75
1072,1569,4.5
1071,1257,0.75
1070,1257,0.75
1069,1257,0.75
1068,1257,0.75
1067,1257,0.75
1066,1257,0.75
1065,1257,0.75
1064,1257,0.75
1063,1257,0.75
1062,1257,0.75
1061,1257,0.75
1060,947,
1059,1560,0.75
1058,1185,
1057,1498,0.75
1056,1498,0.75
1055,1567,0.75
1054,1567,0.75
1053,1567,0.75
1052,1490,0.75
1051,1498,0.75
1050,1561,0.75
1049,1561,0.75
1048,1257,0.75
1047,1257,0.75
1046,1257,0.75
1045,1257,0.75
1044,1257,0.75
1043,1257,0.75
1042,1257,0.75
1041,1257,0.75
1040,1257,0.75
1039,1257,0.75
1038,1257,0.75
1037,1257,0.75
1036,1185,
1035,1185,
1034,1151,0.75
1033,1151,0.75
1032,1257,0.75
1031,1257,0.75
1030,1257,0.75
1029,1257,0.75
1028,1257,0.75
1027,1550,
1026,1550,
1025,1185,
1024,1185,
1023,1185,
1022,714,0.75
1021,1557,0.65
1020,1557,0.65
1019,1562,0.75
1018,1510,0.75
1017,1509,0.75
1016,1510,0.75
1015,1510,0.75
1014,1509,0.75
1013,1509,0.75
1012,1185,
1011,1520,0.75
1010,1520,0.75
1009,1519,0.75
1008,1519,0.75
1007,1518,0.75
1006,1518,0.75
1005,1517,0.75
1004,1517,0.75
1003,1516,0.75
1002,1516,0.75
1001,1514,0.75
1000,1514,0.75
999,1515,0.75
998,1515,0.75
997,1540,
996,1185,
995,1185,
994,1555,0.75
993,1560,0.75
992,1561,0.75
991,1561,0.75
990,1498,0.75
989,1498,0.75
988,1498,0.75
987,1185,
986,1185,
985,1557,0.65
984,1557,0.65
983,1560,0.75
982,1560,0.75
981,21,0.75
980,21,0.75
979,21,0.75
978,21,0.75
977,21,0.75
976,1556,0.75
975,1556,0.75
974,1498,0.75
973,1498,0.75
972,1347,0.75
971,1538,0.75
970,1538,0.75
969,1538,0.75
968,1498,0.75
967,1498,0.75
965,1301,0.75
964,1495,0.75
963,1529,0.75
962,1537,0.75
961,1546,0.75
960,1185,
959,1185,
958,1185,
957,1544,0.75
956,1549,
955,1538,0.75
954,1538,0.75
953,1538,0.75
952,1185,
951,1546,0.75
950,1345,0.75
949,1345,0.75
948,1492,0.75
947,1492,0.75
946,1346,0.75
945,1346,0.75
944,1291,0.75
943,1291,0.75
942,1544,0.75
941,1544,0.75
939,1536,4.5
940,1185,
938,1495,0.75
937,1537,0.75
936,1537,0.75
935,895,0.5
934,1185,
933,1185,
932,1185,
931,895,0.5
930,1540,
929,1540,
928,948,0.75
927,1371,0.75
926,1538,0.75
925,1538,0.75
924,1371,0.75
923,1350,0.75
922,1371,0.75
921,1430,0.75
919,1369,0.75
918,1520,0.75
917,1520,0.75
916,1519,0.75
915,1519,0.75
914,1518,0.75
913,1518,0.75
912,1517,0.75
911,1517,0.75
910,1516,0.75
909,1516,0.75
908,1515,0.75
907,1515,0.75
906,1514,0.75
905,1514,0.75
903,1346,0.75
902,1490,0.75
901,1506,0.75
900,1505,0.75
899,1504,0.75
898,1499,0.75
897,1467,0.75
896,1491,0.75
895,1473,0.75
894,1470,0.75
893,1461,0.75
892,1466,0.75
891,1462,0.75
890,1459,0.75
889,1431,0.75
888,1457,0.75
887,1442,0.75
886,1456,0.75
885,1441,0.75
884,1453,0.75
883,1427,0.75
882,1444,0.75
881,1426,0.75
880,1440,0.75
879,1452,0.75
878,1425,0.75
877,1451,0.75
876,1450,0.75
875,1371,0.75
874,1449,0.75
873,1423,0.75
872,1445,0.75
871,1422,0.75
870,1421,0.75
869,1420,0.75
868,1438,0.75
867,1419,0.75
866,1428,0.75
865,1418,0.75
864,1448,0.75
863,1447,0.75
862,1417,0.75
861,1416,0.75
860,1414,0.75
859,1413,0.75
858,1412,0.75
857,1411,0.75
856,1410,0.75
855,1409,0.75
854,1408,0.75
853,1407,0.75
852,1415,0.75
851,1446,0.75
850,1405,0.75
849,1437,0.75
848,1404,0.75
847,1403,0.75
846,1402,0.75
845,1401,0.75
844,1400,0.75
843,1398,0.75
842,1397,0.75
841,1387,0.75
840,1385,0.75
839,1078,0.75
838,1443,0.75
837,1439,0.75
836,1435,0.75
835,1433,0.75
834,1282,0.75
833,1288,0.75
832,1288,0.75
831,1185,
830,1530,
829,1530,
827,1529,0.75
825,1524,0.75
824,1185,
823,1185,
822,1185,
821,1524,0.75
817,1185,
816,1506,0.75
815,1505,0.75
814,1490,0.75
813,1504,0.75
812,1454,0.0
811,1501,0.75
810,1501,0.75
809,1503,
808,1185,
820,974,0.75
819,1497,0.75
818,1347,0.75
826,1235,0.5
828,1497,0.75
807,1371,0.75
806,1371,0.75
805,1371,0.75
804,1371,0.75
803,1500,
802,1500,
801,1500,
800,1497,0.75
799,1489,0.75
798,1497,0.75
797,1497,0.75
796,1497,
795,1499,0.75
794,1360,0.6
793,1360,0.6
792,1360,0.6
791,1467,0.75
790,1492,0.75
789,1492,0.75
788,1491,0.75
787,1454,0.0
786,1185,
785,1185,
784,1369,0.75
783,1369,0.75
782,1369,0.75
781,1369,0.75
780,1369,0.75
779,1473,0.75
778,1470,0.75
777,1466,0.75
776,1463,0.75
775,1462,0.75
774,1461,0.75
773,1459,0.75
772,1458,0.75
771,1457,0.75
770,1456,0.75
769,1454,0.0
768,1453,0.75
767,1452,0.75
766,1451,0.75
765,1450,0.75
764,1449,0.75
763,1448,0.75
762,1447,0.75
761,1446,0.75
760,1445,0.75
759,1444,0.75
758,1443,0.75
757,1442,0.75
756,1441,0.75
755,1251,0.6
754,1440,0.75
753,1439,0.75
752,1438,0.75
750,1437,0.75
749,1435,0.75
748,1433,0.75
747,1431,0.75
746,1430,0.75
745,1368,0.75
744,1368,0.75
743,1428,0.75
742,1427,0.75
741,1426,0.75
740,1425,0.75
739,1423,0.75
738,1422,0.75
737,1235,0.5
